Time,DOM_GDP_1,DOM_GDP_2,DOM_GDP_3,DOM_CPI_1,DOM_CPI_2,DOM_CPI_3,STN_1,STN_2,STN_3,resid_DOM_GDP_1,resid_DOM_GDP_2,resid_DOM_GDP_3,resid_DOM_CPI_1,resid_DOM_CPI_2,resid_DOM_CPI_3,resid_STN_1,resid_STN_2,resid_STN_3
2009-Q1,-4.011608568,-4.011608568,-4.011608568,-1.476954527,-1.476954527,-1.476954527,0.18,0.18,0.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-Q2,-3.665718561,-3.665718561,-3.665718561,-2.476720609,-2.476720609,-2.476720609,0.18,0.18,0.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-Q3,-1.206380488,-1.206380488,-1.206380488,0.696814974,0.696814974,0.696814974,0.16,0.16,0.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2009-Q4,1.15365146,1.15365146,1.15365146,2.166945651,2.166945651,2.166945651,0.12,0.12,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010-Q1,0.0977557262761997,1.64289906884073,3.16513452777097,1.08186033233107,2.12589250917687,3.14255589244099,-1.52270876557308,-0.0528585513049848,1.56296085487557,-1.40380586126586,0.0347462316877136,1.46598035590619,-1.04371030746308,-0.0366837140910162,0.948866473580285,-1.3930806855378,-0.0305309239034972,1.43845082896289
2010-Q2,-0.335429564829668,1.72105345138887,3.71451533614028,0.396907294893856,1.94659582219503,3.58959718239067,-2.141689282337,-0.00746102746960736,2.28498010285823,-1.5085428235466,-0.0732128076911956,1.59933994663568,-0.925636699729359,0.03062170693952,0.893560167064206,-1.51068315986914,0.0234591514911555,1.34627972398189
2010-Q3,-0.5100547666448,1.78466211424771,4.0983427634622,-0.118943818841599,1.81717308349941,3.6927627086471,-2.44254875288471,0.161904056878151,2.71088837400286,-1.60240210492236,0.0022927545030804,1.42970966673948,-1.06148134731203,-0.00115969844521198,0.983167458604453,-1.61373762045873,0.012411125127614,1.43688234337186
2010-Q4,-0.775168874577794,1.8725704822968,4.02029850679953,-0.2567213714308,1.8283259718518,3.8750643517728,-2.46652890532473,0.350831723594985,3.24368648367748,-1.56476248662685,0.0328897970066679,1.55660334421004,-0.98638535605549,0.0355854643950572,0.943772011696133,-1.39900460434626,-0.0750354576935274,1.31287474362991
2011-Q1,-0.903060397189627,1.72055542278854,4.29858481127352,-0.451614883731931,1.83383136275244,3.93731285781172,-2.78673625641293,0.498603260707785,3.47414766024308,-1.54694092425948,0.0650300004261604,1.50403031153403,-1.0322486382864,0.0277765298828778,0.920351130862645,-1.31753509246861,0.00770350862907589,1.34745160120406
2011-Q2,-1.27314252181645,1.32838143058466,3.88760056674978,-0.744210553088578,1.90661272034609,4.26510261354904,-3.04146858354603,0.493260962450931,4.01314189080683,-1.61451223863392,-0.0099134932239224,1.61903798005161,-1.03143776115307,0.000700520658269258,0.916662410057634,-1.3803546586214,-0.0315184009506045,1.42573422453958
2011-Q3,-1.33704880833977,1.20877022439078,3.85454543412534,-1.08389640406446,1.8868508047602,4.59148050720365,-3.15297819333036,0.597037586119595,4.77973790763688,-1.28889199156811,-0.033576716373417,1.47824000524189,-0.912202921218973,-0.0165180511984923,0.960853732450801,-1.46955623426008,0.0423419078306939,1.41942033988474
2011-Q4,-1.4784170780183,1.11167872734624,3.69902291065137,-0.982470806906403,1.89445784713981,4.7320371488,-3.39598211618889,0.436668854407455,5.09362247105114,-1.38315562338809,0.0235269114655601,1.38572141551004,-0.876927662061906,0.0478764819971883,1.00881898203991,-1.44427510376641,0.020610427708401,1.44898767121159
2012-Q1,-1.49395015047479,1.03435616071947,3.44214348556814,-0.97494837767088,1.89351379250577,4.65573709789468,-3.84875196948644,0.587029790799021,5.42327285340092,-1.37170616836599,0.05905949847546,1.40447496637495,-0.915753606763089,-0.0108230321171057,0.979718634330442,-1.27260822515272,0.0498125083441928,1.41842965370713
2012-Q2,-1.93673576147544,0.803271520695741,3.41544670279523,-0.858293928574174,1.8498200074145,4.73380288445177,-4.22109290884722,0.4406083208443,5.44417263421256,-1.49160758761714,-0.120370245596362,1.38949537157673,-0.972805883479305,-0.0325385196071054,1.03845180793888,-1.46754664876279,0.000445164872970885,1.26395286731231
2012-Q3,-1.48002801333695,0.911391201851372,3.45156576220524,-1.14233202942556,1.70369946494124,4.60858332709859,-4.42710384250418,0.41416439862205,5.4945671436922,-1.29734017036566,0.0684464521900052,1.41286696134095,-0.960149612926965,-0.0333446041068359,0.946062396926017,-1.48468313463555,-0.0114935000505119,1.31948853738838
2012-Q4,-1.66347561583033,0.837286112843532,3.31421663344777,-1.11260634539449,1.64533810711644,4.84985793706001,-4.43213144585627,0.424107326973917,5.76238732328316,-1.56999372436301,-0.0471585641696533,1.43995993754257,-0.9262860083389,0.0197431815135069,1.07788784722081,-1.36711269373299,-0.0189723712120713,1.30170643526402
2013-Q1,-1.71897985620769,0.799717846178718,3.41209032331926,-1.31942725526484,1.61902003156907,4.92748731997125,-4.55006580861577,0.440714830261807,5.76565689384822,-1.36589342534084,0.0929188470154871,1.43079031750109,-0.98428058534327,-0.0286109160053012,0.968494156058033,-1.30479218837001,0.0622009238592856,1.43441115773694
2013-Q2,-1.6666610942314,0.772848132111218,3.19576628320942,-1.49433212043973,1.66302610079404,4.76642840949017,-4.79187195066427,0.394939017844509,5.5722183281016,-1.59788087929611,-0.0501086688869949,1.28139534533536,-1.02709932996321,-0.0372776013875278,0.90655615586392,-1.35365996523675,-0.0497946314839664,1.35919635536404
2013-Q3,-1.66834841846435,0.935595038218494,3.38707308878574,-1.82680153731111,1.60506870164291,4.7747779702286,-5.0452733904039,0.222432062792819,5.87293919979204,-1.37195731792065,-0.0527691124269359,1.52423737133764,-0.936896539068855,0.039565489924894,0.989047836372554,-1.46278059229453,0.0393506435696891,1.43473153509246
2013-Q4,-1.76840612742584,0.885547237070167,3.33536632040613,-1.66676346620388,1.54948998546219,5.05872998888498,-5.24247065618131,0.015150808946518,5.69418640307054,-1.49763138300114,-0.0177459617102053,1.57467446979913,-1.01015575328415,0.0300289810441843,1.01904386394018,-1.41419828979738,-0.0362050551683556,1.42586615944183
2014-Q1,-1.62290629487422,0.769348604567474,3.40215357778346,-1.91838291490547,1.59473953244005,4.91232090087642,-5.49208764830023,-0.0353064370948997,5.84940292675413,-1.41781275508217,-0.13472799818709,1.49831275457754,-0.966077518807709,-0.0146768954552887,0.957033340099585,-1.36891184751631,-0.0181217663270732,1.43927760337672
2014-Q2,-1.74919678956163,0.793885469616136,3.42774696833707,-1.96057728004087,1.67584292619187,4.80604288243147,-5.48971356003496,0.0119128893489476,5.78852033320429,-1.50590955456194,0.0235240289275939,1.47975071241285,-0.992509720005531,0.0308656052206912,1.0395294922964,-1.40863507988128,0.0426145967330482,1.50750452114088
